,Elec Costs
January,261.87010697638124
February,220.56031555339808
March,180.43031721474426
April,136.9148301354762
May,158.29328883806713
June,189.86383949453636
July,206.6717101598648
August,183.8256425017378
September,146.79688695887566
October,142.41562302681567
November,169.42940828062808
December,232.15104163259164
