,Elec Costs
January,301.022996962558
February,257.9907080277639
March,231.54795449691292
April,183.67075948900782
May,162.95035689389954
June,165.0104503729293
July,186.19632977659867
August,183.66066055970896
September,158.92142040499076
October,147.6900553754305
November,179.3729730967476
December,267.05648039361915
