,Elec Costs
January,230.70336160997434
February,192.69881842023563
March,165.98209610241136
April,161.08269429937468
May,200.80334736263242
June,230.98417593470057
July,253.8943545683098
August,241.0894299921667
September,209.75089418448724
October,163.7096655603864
November,146.55858106407592
December,200.58667346766796
