,Elec Costs
January,242.9535726939751
February,205.34219321292036
March,169.03826082476564
April,137.6685002414775
May,164.69206403498163
June,196.80658030135203
July,235.6213014542076
August,240.28899608866612
September,193.4084955946271
October,153.5757648955485
November,156.43806331643046
December,197.85028486094657
