,Elec Costs
January,164.7382376777249
February,145.08977057623065
March,121.44132244168092
April,94.82096454669224
May,100.91308943238532
June,138.96780123419623
July,171.66706012464508
August,163.82410636989866
September,121.5744923715806
October,94.46893699638923
November,111.25392784178086
December,150.28827571796538
