,index,Proportion,Resource,Type
0,Coal,0.075,Coal,Fossil
1,Oil,0.005,Oil,Fossil
2,Gas,0.741,Gas,Fossil
3,Other Fossil,0.007,Other Fossil,Fossil
4,Nuclear,0.114,Nuclear,Renewable
5,Hydro,0.001,Hydro,Renewable
6,Biomass,0.017,Biomass,Renewable
7,Wind,0.0,Wind,Renewable
8,Solar,0.037,Solar,Renewable
9,Geo- thermal,0.0,Geo- thermal,Renewable
10,Other unknown/ purchased fuel,0.004,Other unknown/ purchased fuel,Unknown
