,Elec Costs
January,246.26293870929237
February,214.31151073014533
March,181.69289700931319
April,141.1252022336603
May,144.64749416231155
June,156.58412914488707
July,187.2407338617147
August,190.39926941552903
September,146.95628660343922
October,133.50888231813764
November,161.15527120847088
December,220.39557824944382
