,Elec Costs
January,220.171237376586
February,183.8537033797738
March,162.84339874135574
April,127.10352507296273
May,124.1816793906684
June,145.02793523138223
July,173.4641152378133
August,155.83074602773084
September,125.16981153977177
October,122.82868048361127
November,144.84673060761858
December,201.67213840562897
