,Elec Costs
January,412.18604780619563
February,356.2783531021534
March,297.11342955329803
April,187.3161534705324
May,167.42062669768904
June,154.43245479726866
July,158.24546572996425
August,150.55892500435607
September,146.40545976157927
October,192.7065102369607
November,277.65470056254543
December,381.6454032761061
