,Elec Costs
January,691.0341864080243
February,535.1535296240568
March,497.6089263232861
April,438.83600882315454
May,557.5525269083341
June,627.687467676719
July,749.0410211538102
August,778.2865723701767
September,655.7233029443709
October,515.4548695214703
November,458.5189893290375
December,633.8935241977539
