,Emission
January,738090.4975598673
February,601661.9225998877
March,527175.380861452
April,323252.8478602446
May,279271.5609240324
June,260063.66143923192
July,284528.0071604445
August,274365.44442278397
September,254949.51089758947
October,332927.30014451285
November,462667.03095840366
December,677682.5984034181
