,Elec Costs
January,124.89868559941134
February,107.8820666437622
March,99.19044553581153
April,79.47121999759405
May,76.03342321286938
June,77.94402823647779
July,84.80155135642663
August,78.9841550348379
September,69.06666582956788
October,74.72580353445629
November,90.15786483833195
December,114.37258476014836
