,Elec Costs
January,133.06305156845607
February,117.5289243293027
March,105.76892213864127
April,86.89257728617808
May,84.91243964523414
June,85.68390042514686
July,92.76784357527376
August,89.40379067122608
September,81.02263414654992
October,84.38798863969639
November,93.30959962275776
December,115.95152103161739
