,index,Proportion,Resource,Type
0,Coal,0.001,Coal,Fossil
1,Oil,0.0,Oil,Fossil
2,Gas,0.494,Gas,Fossil
3,Other Fossil,0.008,Other Fossil,Fossil
4,Nuclear,0.084,Nuclear,Renewable
5,Hydro,0.073,Hydro,Renewable
6,Biomass,0.027,Biomass,Renewable
7,Wind,0.077,Wind,Renewable
8,Solar,0.177,Solar,Renewable
9,Geo- thermal,0.057,Geo- thermal,Renewable
10,Other unknown/ purchased fuel,0.002,Other unknown/ purchased fuel,Unknown
