,Elec Costs
January,293.080296030689
February,237.98074208305067
March,186.46438028225373
April,140.7155646066353
May,152.87423931027746
June,187.84653619990692
July,219.71093477562917
August,196.75948261787806
September,150.92910052562794
October,138.32422065379592
November,161.07284067122598
December,247.2464207941907
