,Elec Costs
January,154.43434086529686
February,127.77726503878353
March,101.7379865703397
April,72.21299005489531
May,61.82481196256467
June,64.56396220760807
July,67.98640139147966
August,62.28757599248755
September,56.42472258518772
October,64.94619699730333
November,83.99742632759605
December,134.44777411498382
