,Elec Costs
January,259.0999718532178
February,212.5882559550825
March,174.39625414723477
April,129.49013954065373
May,145.1734847181553
June,180.48931241949364
July,205.7299883820596
August,197.44745283682167
September,153.0985126481729
October,127.18167802089101
November,151.2538737301785
December,221.50482685546388
