,index,Proportion,Resource,Type
0,Coal,0.321,Coal,Fossil
1,Oil,0.01,Oil,Fossil
2,Gas,0.265,Gas,Fossil
3,Other Fossil,0.011,Other Fossil,Fossil
4,Nuclear,0.298,Nuclear,Renewable
5,Hydro,0.005,Hydro,Renewable
6,Biomass,0.019,Biomass,Renewable
7,Wind,0.067,Wind,Renewable
8,Solar,0.004,Solar,Renewable
9,Geo- thermal,0.0,Geo- thermal,Renewable
10,Other unknown/ purchased fuel,0.0,Other unknown/ purchased fuel,Unknown
