,monthly_price
January,96.77002054904895
February,83.57691704611655
March,77.83187436076884
April,65.33204907510596
May,71.43221133683583
June,73.94475511629416
July,79.89006844683756
August,78.86601847311213
September,72.63909832060557
October,69.4065063338574
November,72.97027728982656
December,90.71995389535186
