,Elec Costs
January,272.21305996879175
February,224.46602108781383
March,181.85945833406748
April,125.90075226891067
May,98.22222316725087
June,91.85786788514423
July,101.00668307337784
August,100.57478138107363
September,90.95573373098031
October,96.84829943613755
November,135.04903535345917
December,231.20202006454687
