,Elec Costs
January,138.29544093137423
February,119.68030074104242
March,107.29991389934295
April,87.19650048841059
May,94.87587358618957
June,116.34834086799142
July,142.4867217000298
August,132.4301334429214
September,98.07261058006294
October,90.2635407734349
November,102.0956921720743
December,126.9661579619474
