,Elec Costs
January,129.48369602247251
February,105.75198987893836
March,90.97950682725802
April,71.31726557518567
May,72.19398279231208
June,91.43318581887519
July,107.00436988163905
August,93.25577459724047
September,72.28212743313193
October,75.94028430339883
November,81.82368924279132
December,119.14413573036315
