,Elec Costs
January,223.64186696070936
February,204.387556183747
March,202.76940260677975
April,200.00610021208226
May,201.50891150654016
June,203.32268127014987
July,199.49133978918306
August,190.5739864382024
September,177.4599833468228
October,169.7920811994355
November,188.89719341636064
December,203.78974784318757
